"Accepted Symbol","Synonym Symbol","Scientific Name","Common Name","Growth Habit","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Anaerobic Tolerance","Drought Tolerance","Frost Free Days, Minimum","Moisture Use","pH (Minimum)","pH (Maximum)","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Salinity Tolerance","Shade Tolerance","Temperature, Minimum (°F)","Bloom Period"
"TADI2","","Taxodium distichum","bald cypress","Tree","Rapid","45","130","Yes","Yes","Yes","High","Low","160","High","4.5","6.0","40","65","40","High","Intermediate","-18","Mid Spring"
"TACU","","Taxus cuspidata","Japanese yew","Tree","Slow","30","50","No","Yes","No","None","Medium","120","Medium","5.3","7.8","35","50","16","Low","Tolerant","-28","Mid Spring"
"THOC2","","Thuja occidentalis","arborvitae","Tree","Slow","25","50","Yes","Yes","Yes","Medium","Low","100","Medium","5.2","7.0","35","55","30","Medium","Intermediate","-33","Mid Spring"
"TIAM","","Tilia americana","American basswood","Tree","Moderate","60","100","Yes","Yes","No","None","Low","80","Medium","4.5","7.5","21","80","30","None","Tolerant","-46","Late Spring"
"TSCA","","Tsuga canadensis","eastern hemlock","Tree","Slow","22","105","Yes","Yes","No","None","Low","80","Medium","4.2","5.7","32","55","28","None","Tolerant","-33","Mid Spring"
"TSHE","","Tsuga heterophylla","western hemlock","Tree","Slow","40","170","No","Yes","No","None","Low","150","Medium","4.5","6.0","38","150","36","None","Tolerant","-23","Mid Spring"
"ULPA","","Ulmus parvifolia","Chinese elm","Tree","Rapid","40","60","Yes","Yes","Yes","None","Medium","140","Medium","4.8","7.0","16","55","24","None","Intolerant","-13","Late Summer"
"ULPU","","Ulmus pumila","Siberian elm","Tree, Shrub","Rapid","40","70","Yes","Yes","Yes","None","High","90","Medium","5.5","8.0","16","50","24","Medium","Intolerant","-38","Mid Spring"
"UMCA","","Umbellularia californica","California laurel","Tree, Shrub","Moderate","30","80","Yes","Yes","Yes","None","Low","140","High","5.7","7.4","13","84","16","None","Tolerant","-13","Spring"
"VILE","","Viburnum lentago","nannyberry","Tree, Shrub","Slow","28","28","No","Yes","Yes","Medium","Low","128","Medium","5.0","7.0","38","60","14","None","Tolerant","-33","Late Spring"
"VIOPA2","","Viburnum opulus var. americanum","American cranberrybush","Shrub, Tree","Slow","6","6.0","No","Yes","Yes","Low","None","130","High","5.5","7.5","32","60","14","None","Intolerant","-38","Late Spring"
